Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1308959806443737089,"RT @Badr1__KSA : الجائزة 👈🏼 جهاز iphone 11 📱
أو قيمة الجائزة كاااااااااااااش 💸

السحب بأي لحظة للمتفاعلين🔥
🔁 ريتويت 🤍  لايك 💬 منشن https://t.co/XSM3eBUZGZ",Majed 2019,Majed201913,2020-09-24T02:41:51.000Z,Thu Sep 24 02:41:51 +0000 2020,0,0,ar,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/EipQuhgXsAYEU3U.jpg,,,
1308959801251000321,RT @_amatou_chan_ : iPhoneのホーム画面内 アプリ画像変更方法(ショートカット方法) 簡単にまとめてみました☺️ 良ければ参考にして下さい〰️📱 https://t.co/MDmyRQ5jAu,さーやか,yasa__1011,2020-09-24T02:41:50.000Z,Thu Sep 24 02:41:50 +0000 2020,0,0,ja,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/EifTUFkVgAAcm8r.jpg,https://pbs.twimg.com/media/EifTUFjVgAEE5kL.jpg,https://pbs.twimg.com/media/EifTUFlUwAAGcin.jpg,https://pbs.twimg.com/media/EifTUF5VkAECFBn.jpg
1308959800022065152,"RT @itisikizousen : 散々配信画像編集した後でiphoneでも撮影していた事を思い出し撮ってだしになりました

海上自衛隊　儀仗隊　弔銃発射 https://t.co/YNyxXdFp57 #sm37569242 #ニコニコ動画 https://t.co/CVtdliXYCO",アサカワケーイチ,keiichi_asakawa,2020-09-24T02:41:50.000Z,Thu Sep 24 02:41:50 +0000 2020,0,0,ja,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://nico.ms/sm37569242?ref=twitter_ss ,2,0,photo,https://pbs.twimg.com/media/EipD_N-UMAA-Oba.jpg,,,
1308959798927319041,"メールもLINEもなかなか届かないsakiのiphone(´・ω・`)
使用ギガ数が多いのかな‥??",saki,sakinepeace_220,2020-09-24T02:41:50.000Z,Thu Sep 24 02:41:50 +0000 2020,0,0,ja,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1308959796872134656,"RT @yashi09 : 大雑把な人間なのでiPhoneの充電ケーブルを買ったと思って帰ったらAndroid用とかで宇宙を3つぐらい破壊しちゃったりするんですが皆様も似たような経験してますよね。
https://t.co/yoRd34V0Sv",霙,renkakurohime,2020-09-24T02:41:49.000Z,Thu Sep 24 02:41:49 +0000 2020,0,0,ja,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,http://yashiroazuki.blog.jp/archives/26365453.html ,0,0,,,,,
1308959790828195841,"モイ！iPhoneからキャス配信中 -
２枠目( ^ω^ ) https://t.co/XhQh9U4zZp #闘病垢 #双極性障害",るちぇ,ruru_lovemyself,2020-09-24T02:41:48.000Z,Thu Sep 24 02:41:48 +0000 2020,0,0,ja,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",Tweet,https://twitcasting.tv/ruru_lovemyself/movie/642384298 ,2,0,,,,,
1308959790261993472,"goodbye i caraio vadia teclado sorriso cachorra recife renato fada sensata tinder maconha cu eat shit auge iphone desculpa por ser homem celular nsfw porn pornô dom top bottom fancam kpop follow trick daddy cadela assistir #followtrick lésbica +18 gainszn
https://t.co/kEKnSYJgfG",ؘ,jeongarden_,2020-09-24T02:41:47.000Z,Thu Sep 24 02:41:47 +0000 2020,0,1,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,1,0,video,https://video.twimg.com/ext_tw_video/1308186478682537984/pu/vid/480x480/wdw7_STnC80efi83.mp4?tag=10,,,
1308959790211559425,モイ！iPhoneからキャス配信中 - / 奥井ソング https://t.co/5rsqmH6B6s,ショウ @Alexander,syou_fenrir,2020-09-24T02:41:47.000Z,Thu Sep 24 02:41:47 +0000 2020,0,0,ja,"<a href=""http://twitcasting.tv/"" rel=""nofollow"">TwitCasting</a>",Tweet,https://twitcasting.tv/syou_fenrir/movie/642384304 ,0,0,,,,,
1308959787556757504,Deje de creer en la ley de la atracción pq la use en un giveaway de un iPhone y no gane👍,Nicol sin e,nicoltrujill0,2020-09-24T02:41:47.000Z,Thu Sep 24 02:41:47 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,0,0,,,,,
1308959784817876993,"RT @Badr1__KSA : الجائزة 👈🏼 جهاز iphone 11 📱
أو قيمة الجائزة كاااااااااااااش 💸

السحب بأي لحظة للمتفاعلين🔥
🔁 ريتويت 🤍  لايك 💬 منشن https://t.co/XSM3eBUZGZ",وضحى ام يوسف,wsb122,2020-09-24T02:41:46.000Z,Thu Sep 24 02:41:46 +0000 2020,0,0,ar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/EipQuhgXsAYEU3U.jpg,,,
1308959782410149890,"RT @BrightMinho : วันเปิดตัว iPhone 12 มาแล้วววว🎉
จาก Leaker ที่แม่นมากคนนึง เจ้าเก่าเจ้าเดิม Jon Prosser
- งานวันเปิดตัว วันที่ 13 ตุลาคม
- Pre-order ในเว็บวันที่ 16 ตุลาคม
- จัดจำหน่าย วันที่ 23 ตุลาคม https://t.co/mtPa5yWQi8",orange.,orangeryeong9,2020-09-24T02:41:46.000Z,Thu Sep 24 02:41:46 +0000 2020,0,0,th,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://twitter.com/theapplehub/status/1308843527347068929 ,0,0,,,,,
1308959777964396544,"RT @criticolombia : Les voy a explicar cómo funciona el mercado del iPhone en el mundo. En Estados Unidos diseñan el IPhone, en China lo ensamblan y en Colombia los Petristas se lo roban y lo venden por partes!",Cristovaron,cristovaron,2020-09-24T02:41:45.000Z,Thu Sep 24 02:41:45 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1308959776613658626,いっそのことiPhoneも現在のサイズから60インチくらいまで自由に大きさが変わるみたいなすごい素材で出来てて、Mac使うのと何も変わらない感じで巨大化させれて、小さくしたいときはUSBメモリくらいまで小さくなってくれるとめちゃくちゃたすかる,たろ,taro_m3,2020-09-24T02:41:44.000Z,Thu Sep 24 02:41:44 +0000 2020,0,0,ja,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1308959770741743616,@Teenzofficial Cual iPhone?,Yosuke357,yosuke357,2020-09-24T02:41:43.000Z,Thu Sep 24 02:41:43 +0000 2020,0,0,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1308959768380428288,"RT @Badr1__KSA : الجائزة 👈🏼 جهاز iphone 11 📱
أو قيمة الجائزة كاااااااااااااش 💸

السحب بأي لحظة للمتفاعلين🔥
🔁 ريتويت 🤍  لايك 💬 منشن https://t.co/XSM3eBUZGZ",̨حۡــﯣڔٰۛ ּ..🦋,najah14618348,2020-09-24T02:41:42.000Z,Thu Sep 24 02:41:42 +0000 2020,0,0,ar,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/EipQuhgXsAYEU3U.jpg,,,
